HashFunc: BKDRHash    Op: Insert    Key: undeceivable    LF: 0.007634     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: cochleitis    LF: 0.015267     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: gastrophrenic    LF: 0.022901     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: cocillana    LF: 0.030534     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: bauta    LF: 0.038168     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: Peromyscus    LF: 0.045802     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: platyfish    LF: 0.053435     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: adnascence    LF: 0.061069     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: interrogatee    LF: 0.068702     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: gustatory    LF: 0.076336     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: Wega    LF: 0.083969     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: noctilucent    LF: 0.091603     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: curried    LF: 0.099237     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: telekinematography    LF: 0.106870     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: bedless    LF: 0.114504     OCC([min, max] depth): [0, 1]
HashFunc: BKDRHash    Op: Insert    Key: crooked    LF: 0.122137     OCC([min, max] depth): [0, 2]
HashFunc: BKDRHash    Op: Insert    Key: nonequatorial    LF: 0.129771     OCC([min, max] depth): [0, 2]
HashFunc: BKDRHash    Op: Insert    Key: Fontinalis    LF: 0.137405     OCC([min, max] depth): [0, 2]
HashFunc: BKDRHash    Op: Insert    Key: euhedral    LF: 0.145038     OCC([min, max] depth): [0, 2]
HashFunc: BKDRHash    Op: Insert    Key: sparsioplast    LF: 0.152672     OCC([min, max] depth): [0, 2]
HashFunc: BKDRHash    Op: Insert    Key: parenchyme    LF: 0.160305     OCC([min, max] depth): [0, 2]
